"i"tracking_record_id""	"date_time"	"user_gui"	"campaign_id"	"product_gui"	"company"	"link"	"tracking_id"	"meio"	"ip"	"browser"	"session_id"	"referer"	"cookie_id"
"5922729"	"2012-01-0100:24:20"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"isua0solovk9s62cmbp1thf8p0"	"http://www.loja21.pt/customer/account/login/"	"ab0e01ea-e0eb-4480-a3ee-0497045ef15a"
"5922730"	"2012-01-0100:24:25"	""	""	"/customer/account/forgotpassword/"	"ljv"	"http://www.loja21.pt/customer/account/forgotpassword/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"ci06ae4atc9u0dfun1n7nv1ie5"	"http://www.loja21.pt/customer/account/forgotpassword/"	"5f3e9da7-0bb4-4cc4-8de7-89b44a1023d3"
"5922731"	"2012-01-0100:24:27"	"gnghif62qzyyronmp7e09rontu95ll6m"	"lon*pdd28122011"	"open"	"lon"	""	"ascii"	"dmzr"	"46.189.157.177"	"mozilla/5.0(iphone;cpuiphoneos5_0_1likemacosx)applewebkit/534.46(khtml,likegecko)"	"6cpv6gpeo1re7s9ne8jkjbvm83"	""	"59c77449-67e8-4de9-b4e1-095fe84b1254"
"5922732"	"2012-01-0100:24:31"	"gnghif62qzyyronmp7e09rontu95ll6m"	"lon*pdd27122011"	"open"	"lon"	""	"ascii"	"dmzr"	"46.189.157.177"	"mozilla/5.0(iphone;cpuiphoneos5_0_1likemacosx)applewebkit/534.46(khtml,likegecko)"	"6cpv6gpeo1re7s9ne8jkjbvm83"	""	"59c77449-67e8-4de9-b4e1-095fe84b1254"
"5922733"	"2012-01-0100:24:32"	""	""	"/customer/account/login/"	"ljv"	"http://www.loja21.pt/customer/account/login/"	"ascii"	"site"	"85.242.44.14"	"mozilla/5.0(compatible;msie9.0;windowsnt6.1;trident/5.0)"	"thci44amqft12urje29f0jvrv6"	"http://www.loja21.pt/customer/account/login/"	"d3dfe2b7-a365-4337-9189-110b6ad854aa"
"5922734"	"2012-01-0100:29:01"	""	""	"display.product*ljv_0436*hdhero2-outdooredition"	"ljv"	"http://www.loja21.pt/tecnologia/hd-hero2-outdoor-edition.html"	"ascii"	"site"	"207.46.12.22"	"mozilla/4.0(compatible;msie7.0;windowsnt5.2;slcc1;.netclr1.1.4322;.netclr2.0.50727;.netclr3.0.30729;.netclr3.5.30707)"	"g2fq5ajaaulcnadf2tdkj0bhh0"	"http://www.loja21.pt/tecnologia/hd-hero2-outdoor-edition.html"	"b016522e-b282-4478-aa7a-8174b7406d83"
"5922735"	"2012-01-0100:30:45"	""	""	"/?gclid|coxthpzjra0cfyehtaod7ldzgw"	"ljv"	"http://www.loja21.pt/?gclid|coxthpzjra0cfyehtaod7ldzgw"	"ascii"	"site"	"217.129.188.101"	"mozilla/5.0(windowsnt6.1;wow64)applewebkit/535.7(khtml,likegecko)chrome/16.0.912.63safari/535.7"	"1804vgqeol0po5mudfrae5fjt0"	"http://www.loja21.pt/?gclid|coxthpzjra0cfyehtaod7ldzgw"	"108779d6-093c-4224-a8f2-6777e140aa14"
"5922736"	"2012-01-0100:31:02"	""	""	"tecnologia"	"ljv"	"http://magento.loja21.pt/tecnologia.html"	"ascii"	"site"	"217.129.188.101"	"mozilla/5.0(windowsnt6.1;wow64)applewebkit/535.7(khtml,likegecko)chrome/16.0.912.63safari/535.7"	"1804vgqeol0po5mudfrae5fjt0"	"http://magento.loja21.pt/tecnologia.html"	"108779d6-093c-4224-a8f2-6777e140aa14"
"5922737"	"2012-01-0100:32:25"	"2mjsxf0lagxzw35au4dvf7o1ryoia19q"	"lon*pdd27122011"	"open"	"lon"	""	"ascii"	"dmzr"	"77.54.162.82"	"mozilla/5.0(iphone;u;cpuiphoneos4_2_1likemacosx;pt-pt)applewebkit/533.17.9(khtml,likegecko)"	"0up8uaf6cafv0121i3kcs85616"	""	"22aeaff4-9791-44ae-b220-c6fa8e98e4f8"
"5922738"	"2012-01-0100:33:15"	""	""	"divertimento"	"ljv"	"http://www.loja21.pt/divertimento.html?sid|mdseei8692vqedi89mvijcp653"	"ascii"	"site"	"217.129.188.101"	"mozilla/5.0(windowsnt6.1;wow64)applewebkit/535.7(khtml,likegecko)chrome/16.0.912.63safari/535.7"	"1804vgqeol0po5mudfrae5fjt0"	"http://www.loja21.pt/divertimento.html?sid|mdseei8692vqedi89mvijcp653"	"108779d6-093c-4224-a8f2-6777e140aa14"
"5922739"	"2012-01-0100:34:34"	""	""	"display.product*ljv_0054*rela3giodesportivoespiaocomcamaradefilmar"	"ljv"	"http://www.loja21.pt/gama-spy/relogio-iv.html"	"utf-8"	"site"	"82.154.86.209"	"mozilla/4.0(compatible;msie8.0;windowsnt6.1;trident/4.0;gtb7.2;slcc2;.netclr2.0.50727;.netclr3.5.30729;.netclr3.0.30729;mediacenterpc6.0;infopath.2;.net4.0c;bri/2;asktbvdj/5.14.0.19709)"	"mar3laqvinqcl46j4og64paak1"	"http://www.loja21.pt/gama-spy/relogio-iv.html"	"167d5318-49d2-4421-962b-6b6ad3aadd15"
"5922740"	"2012-01-0100:34:35"	""	""	"jogos"	"ljv"	"http://www.loja21.pt/jogos.html"	"ascii"	"site"	"217.129.188.101"	"mozilla/5.0(windowsnt6.1;wow64)applewebkit/535.7(khtml,likegecko)chrome/16.0.912.63safari/535.7"	"1804vgqeol0po5mudfrae5fjt0"	"http://www.loja21.pt/jogos.html"	"108779d6-093c-4224-a8f2-6777e140aa14"
